Wes Mcclain,Sheriff
Les McGhee,County Commissioner - District 1
Anthony "Spike" Mersman,County Commissioner - District 2
Michael Blaufuss,County Commissioner - District 3
Julie Wettstein,County Clerk
Steven R. Wilson,County Attorney
Sandra J Baugher,Register of Deeds
Roger Shilling,USD 365 #1
Matt Self,USD 365 #2
Brian Schafer,USD 365
Michael Richards,USD 365
Sonya Martin,USD 365
Gina Witherspoon,USD 365 - Vice President
Adam Caylor,USD 365 - President
Travis Church,USD 479 #4 - President
Kevin Nilges,USD 479 #2 - Vice President
Jamie Henderson,USD 479 #1
Laura Schmidt,USD 479 #3
Lance Ramsey,USD 479 #5
Seth Black,USD 479 #6
Nathan Beckmon,USD 479 At-Large